customer_id,visit_date,age,gender,cuisine_type,restaurant_location,party_size,wait_time,food_quality,service_quality,ambiance_rating,price_value,overall_rating,spending_per_person,total_spending,recommend,will_return,payment_method,visit_time,day_of_week,is_weekend,response_time,cleanliness,review_text
34,2025-10-19,57,Female,Western,Depok,3,52,5,5,4,5,4.8,195391,586173,Yes,Yes,QRIS,Dinner,Sunday,1,19,3,"Food was exceptional, especially the main course. Friendly staff and quick service. Definitely coming back!"
35,2024-08-10,63,Female,Chinese,North Jakarta,6,25,1,1,1,2,1.2,413829,2482974,No,No,Debit Card,Late Night,Saturday,1,18,4,Food was mediocre at best. Service was slow and inattentive. Probably won't return.
36,2024-12-15,52,Female,Thai,Central Jakarta,4,58,5,5,5,4,4.8,499174,1996696,Yes,Yes,QRIS,Breakfast,Sunday,1,16,4,"Food was exceptional, especially the main course. Great customer service experience. Definitely coming back!"
37,2025-07-06,42,Female,Western,East Jakarta,8,19,4,4,3,4,3.8,226228,1809824,Yes,Yes,E-Wallet,Lunch,Sunday,1,24,5,"Amazing Western cuisine, authentic flavors! Great customer service experience. Might give it another try."
38,2025-02-02,19,Female,Arabic,Central Jakarta,2,46,4,5,4,4,4.2,186396,372792,Yes,Yes,E-Wallet,Late Night,Sunday,1,15,4,Best Arabic I've had in a long time! Friendly staff and quick service. Definitely coming back!
39,2025-07-29,42,Female,Thai,North Jakarta,2,35,3,3,1,2,2.2,167556,335112,No,No,Credit Card,Breakfast,Tuesday,0,29,3,Food was okay. Service was acceptable. Might give it another try.
40,2025-01-03,33,Male,Italian,West Jakarta,4,13,5,4,5,4,4.5,293811,1175244,Yes,Yes,Cash,Breakfast,Friday,0,29,3,Best Italian I've had in a long time! Friendly staff and quick service. Definitely coming back!
41,2025-04-06,37,Male,Arabic,Central Jakarta,5,41,5,5,4,4,4.5,360429,1802145,Yes,Yes,Debit Card,Breakfast,Sunday,1,30,5,The Arabic food was absolutely delicious! Server was knowledgeable and helpful. Definitely coming back!
42,2023-12-11,20,Female,Western,Tangerang,6,9,3,4,4,3,3.5,277291,1663746,Yes,Yes,Cash,Lunch,Monday,0,18,3,Food was okay. Great customer service experience. Might give it another try.
43,2024-04-22,64,Female,Arabic,Depok,8,32,4,3,3,4,3.5,286350,2290800,Yes,Yes,Debit Card,Late Night,Monday,0,15,3,"Food was exceptional, especially the main course. Service was acceptable. Might give it another try."
44,2024-06-06,49,Female,Indonesian,Depok,4,27,4,4,5,5,4.5,194844,779376,Yes,Yes,QRIS,Lunch,Thursday,0,7,3,The Indonesian food was absolutely delicious! Staff went above and beyond. Definitely coming back!
45,2024-01-05,64,Female,Korean,East Jakarta,8,46,5,4,4,5,4.5,166180,1329440,Yes,Yes,E-Wallet,Dinner,Friday,0,20,5,"Amazing Korean cuisine, authentic flavors! Server was knowledgeable and helpful. Definitely coming back!"
46,2024-04-26,51,Female,Thai,Bekasi,6,49,5,5,5,4,4.8,113258,679548,Yes,Yes,Debit Card,Lunch,Friday,0,11,3,Best Thai I've had in a long time! Service was excellent and attentive. Definitely coming back!
47,2024-01-20,65,Female,Mexican,North Jakarta,2,58,3,2,3,2,2.5,208475,416950,No,No,Credit Card,Lunch,Saturday,1,13,3,Food was okay. Server was rude and unprofessional. Might give it another try.
48,2024-05-29,21,Female,Indonesian,Depok,2,60,3,2,2,2,2.2,280932,561864,No,No,Cash,Breakfast,Wednesday,0,13,4,Food was okay. Staff seemed uninterested. Might give it another try.
49,2025-02-14,25,Male,Thai,Depok,2,41,1,1,3,2,1.8,94659,189318,No,No,Debit Card,Late Night,Friday,0,24,5,The Thai was disappointing. Server was rude and unprofessional. Probably won't return.
50,2024-07-31,57,Male,Western,Tangerang,8,33,5,4,4,5,4.5,375597,3004776,Yes,Yes,Credit Card,Lunch,Wednesday,0,25,3,Fresh ingredients and perfect seasoning. Service was excellent and attentive. Definitely coming back!
51,2024-08-04,34,Male,Indonesian,East Jakarta,3,40,1,1,2,2,1.5,411429,1234287,No,No,QRIS,Breakfast,Sunday,1,12,4,Not authentic at all. Had to wait too long for everything. Probably won't return.
52,2024-04-09,63,Female,Korean,South Jakarta,4,21,3,2,4,2,2.8,389547,1558188,No,No,Debit Card,Lunch,Tuesday,0,7,3,Food was okay. Had to wait too long for everything. Might give it another try.
53,2024-05-21,28,Female,Arabic,North Jakarta,8,12,5,5,5,5,5.0,192735,1541880,Yes,Yes,QRIS,Late Night,Tuesday,0,7,5,Fresh ingredients and perfect seasoning. Great customer service experience. Definitely coming back!
54,2025-09-22,20,Female,Indian,North Jakarta,1,10,4,4,4,2,3.5,450954,450954,Yes,Yes,Cash,Lunch,Monday,0,20,5,Fresh ingredients and perfect seasoning. Service was excellent and attentive. Might give it another try.
55,2025-02-23,59,Female,Mexican,West Jakarta,7,45,4,5,5,5,4.8,224749,1573243,Yes,Yes,Cash,Dinner,Sunday,1,18,5,The Mexican food was absolutely delicious! Friendly staff and quick service. Definitely coming back!
56,2025-01-26,49,Female,Vietnamese,Tangerang,1,34,2,2,2,1,1.8,455037,455037,No,No,E-Wallet,Late Night,Sunday,1,18,3,Portions were too small for the price. Service was slow and inattentive. Probably won't return.
57,2024-03-12,30,Female,Arabic,Depok,8,53,1,2,3,1,1.8,201010,1608080,No,No,E-Wallet,Breakfast,Tuesday,0,25,5,Not authentic at all. Service was slow and inattentive. Probably won't return.
58,2025-04-23,33,Male,Mexican,Central Jakarta,7,10,2,3,2,4,2.8,486282,3403974,No,No,Debit Card,Dinner,Wednesday,0,21,5,Not authentic at all. Service was acceptable. Might give it another try.
59,2024-03-06,35,Female,Korean,Depok,4,34,3,2,4,4,3.2,441272,1765088,No,Yes,Debit Card,Dinner,Wednesday,0,29,4,Food was okay. Service was slow and inattentive. Might give it another try.
60,2024-08-11,39,Female,Italian,North Jakarta,5,58,4,5,5,5,4.8,230944,1154720,Yes,Yes,Cash,Late Night,Sunday,1,19,4,Fresh ingredients and perfect seasoning. Staff went above and beyond. Definitely coming back!
61,2025-10-31,30,Male,Arabic,Tangerang,4,59,4,5,5,5,4.8,419742,1678968,Yes,Yes,E-Wallet,Late Night,Friday,0,6,3,"Food was exceptional, especially the main course. Friendly staff and quick service. Definitely coming back!"
62,2025-02-17,50,Female,Japanese,Depok,2,38,4,5,4,5,4.5,393293,786586,Yes,Yes,Debit Card,Dinner,Monday,0,15,5,The Japanese food was absolutely delicious! Great customer service experience. Definitely coming back!
63,2024-12-19,62,Female,Vietnamese,South Jakarta,6,59,5,5,5,5,5.0,333648,2001888,Yes,Yes,Credit Card,Lunch,Thursday,0,25,5,Fresh ingredients and perfect seasoning. Service was excellent and attentive. Definitely coming back!
64,2025-03-22,36,Male,Japanese,Tangerang,2,53,2,1,3,2,2.0,65176,130352,No,No,Credit Card,Dinner,Saturday,1,16,4,Overcooked and underseasoned dishes. Service was slow and inattentive. Probably won't return.
65,2025-07-16,45,Male,Chinese,Tangerang,3,15,2,4,3,4,3.2,408159,1224477,No,Yes,Debit Card,Lunch,Wednesday,0,12,4,Not authentic at all. Staff went above and beyond. Might give it another try.
66,2025-05-28,58,Female,Korean,North Jakarta,1,56,5,5,5,4,4.8,88724,88724,Yes,Yes,E-Wallet,Dinner,Wednesday,0,25,4,Best Korean I've had in a long time! Staff went above and beyond. Definitely coming back!
67,2024-04-23,62,Female,Korean,North Jakarta,4,29,4,4,5,5,4.5,238197,952788,Yes,Yes,QRIS,Breakfast,Tuesday,0,26,4,Best Korean I've had in a long time! Server was knowledgeable and helpful. Definitely coming back!
68,2023-12-01,35,Male,Arabic,Central Jakarta,8,58,3,5,4,3,3.8,383771,3070168,Yes,Yes,Debit Card,Dinner,Friday,0,26,5,Food was okay. Staff went above and beyond. Might give it another try.
69,2024-06-25,60,Male,Vietnamese,South Jakarta,1,24,4,5,5,5,4.8,118897,118897,Yes,Yes,Credit Card,Late Night,Tuesday,0,10,3,Best Vietnamese I've had in a long time! Server was knowledgeable and helpful. Definitely coming back!
70,2024-05-21,26,Female,Western,North Jakarta,3,21,5,5,5,4,4.8,295540,886620,Yes,Yes,Credit Card,Late Night,Tuesday,0,30,5,"Amazing Western cuisine, authentic flavors! Friendly staff and quick service. Definitely coming back!"
71,2024-04-10,41,Male,Thai,Central Jakarta,5,39,2,2,3,3,2.5,402500,2012500,No,No,Cash,Dinner,Wednesday,0,8,5,Portions were too small for the price. Poor customer service. Might give it another try.
72,2025-09-27,32,Female,Italian,Bekasi,4,46,3,2,3,2,2.5,390388,1561552,No,No,E-Wallet,Lunch,Saturday,1,6,3,Food was okay. Service was slow and inattentive. Might give it another try.
73,2025-08-09,37,Female,Japanese,South Jakarta,4,39,3,3,3,4,3.2,439619,1758476,No,Yes,QRIS,Late Night,Saturday,1,23,5,Food was okay. Service was acceptable. Might give it another try.
74,2024-06-25,64,Male,Thai,South Jakarta,8,44,5,4,5,5,4.8,163911,1311288,Yes,Yes,E-Wallet,Dinner,Tuesday,0,8,5,"Food was exceptional, especially the main course. Friendly staff and quick service. Definitely coming back!"
75,2025-03-01,41,Female,Italian,Tangerang,5,17,2,1,3,1,1.8,386437,1932185,No,No,QRIS,Dinner,Saturday,1,12,3,The Italian was disappointing. Service was slow and inattentive. Probably won't return.
76,2024-08-23,54,Male,Japanese,East Jakarta,4,57,3,2,4,2,2.8,195371,781484,No,No,Debit Card,Dinner,Friday,0,30,3,Food was okay. Staff seemed uninterested. Might give it another try.
77,2025-09-06,25,Male,Indonesian,Central Jakarta,6,55,4,3,2,2,2.8,189129,1134774,No,No,Credit Card,Late Night,Saturday,1,21,3,"Amazing Indonesian cuisine, authentic flavors! Service was acceptable. Might give it another try."
78,2024-10-08,65,Male,Korean,Depok,6,37,2,3,1,3,2.2,72735,436410,No,No,QRIS,Late Night,Tuesday,0,25,3,Overcooked and underseasoned dishes. Service was acceptable. Might give it another try.
79,2024-05-19,21,Female,Thai,Tangerang,2,36,4,4,5,5,4.5,127769,255538,Yes,Yes,Credit Card,Dinner,Sunday,1,17,5,"Amazing Thai cuisine, authentic flavors! Server was knowledgeable and helpful. Definitely coming back!"
80,2024-05-06,51,Female,Korean,Tangerang,2,55,3,3,3,3,3.0,162734,325468,No,Yes,E-Wallet,Late Night,Monday,0,12,4,Food was okay. Service was acceptable. Might give it another try.
81,2024-12-22,39,Female,Thai,Tangerang,2,25,5,5,5,5,5.0,130026,260052,Yes,Yes,E-Wallet,Breakfast,Sunday,1,7,4,The Thai food was absolutely delicious! Service was excellent and attentive. Definitely coming back!
82,2024-05-18,24,Female,Indonesian,Central Jakarta,6,47,2,2,3,2,2.2,428043,2568258,No,No,Credit Card,Dinner,Saturday,1,16,3,Overcooked and underseasoned dishes. Server was rude and unprofessional. Might give it another try.
83,2025-01-08,54,Male,Indonesian,Depok,4,59,2,3,2,1,2.0,449824,1799296,No,No,Cash,Lunch,Wednesday,0,30,4,Portions were too small for the price. Service was acceptable. Probably won't return.
84,2025-08-25,53,Male,Arabic,North Jakarta,1,16,5,4,4,4,4.2,53201,53201,Yes,Yes,Debit Card,Late Night,Monday,0,7,3,"Amazing Arabic cuisine, authentic flavors! Staff went above and beyond. Definitely coming back!"
85,2024-08-25,65,Male,Japanese,East Jakarta,7,31,5,4,5,5,4.8,428324,2998268,Yes,Yes,Cash,Breakfast,Sunday,1,6,3,Fresh ingredients and perfect seasoning. Staff went above and beyond. Definitely coming back!
86,2024-04-16,28,Male,Vietnamese,South Jakarta,5,33,5,5,5,5,5.0,193218,966090,Yes,Yes,Debit Card,Dinner,Tuesday,0,18,3,Fresh ingredients and perfect seasoning. Service was excellent and attentive. Definitely coming back!
87,2025-11-06,36,Female,Western,North Jakarta,1,19,5,4,4,4,4.2,208030,208030,Yes,Yes,Debit Card,Dinner,Thursday,0,15,3,"Amazing Western cuisine, authentic flavors! Server was knowledgeable and helpful. Definitely coming back!"
88,2024-11-14,18,Female,Thai,West Jakarta,3,29,4,4,4,3,3.8,87788,263364,Yes,Yes,E-Wallet,Breakfast,Thursday,0,19,3,The Thai food was absolutely delicious! Great customer service experience. Might give it another try.
89,2024-01-13,38,Female,Arabic,Tangerang,7,23,2,1,2,1,1.5,470123,3290861,No,No,QRIS,Breakfast,Saturday,1,18,3,Not authentic at all. Had to wait too long for everything. Probably won't return.
90,2023-12-12,33,Female,Arabic,Tangerang,2,30,5,4,3,4,4.0,458482,916964,Yes,Yes,Debit Card,Breakfast,Tuesday,0,21,5,The Arabic food was absolutely delicious! Staff went above and beyond. Definitely coming back!
91,2024-01-27,30,Female,Indian,West Jakarta,4,11,3,2,2,4,2.8,130147,520588,No,No,Credit Card,Late Night,Saturday,1,19,5,Food was okay. Staff seemed uninterested. Might give it another try.
92,2025-02-08,55,Female,Vietnamese,Bekasi,6,14,4,5,5,5,4.8,208765,1252590,Yes,Yes,Cash,Dinner,Saturday,1,21,3,Fresh ingredients and perfect seasoning. Service was excellent and attentive. Definitely coming back!
93,2025-06-09,37,Female,Korean,Central Jakarta,1,28,3,5,3,5,4.0,361468,361468,Yes,Yes,QRIS,Late Night,Monday,0,23,5,Food was okay. Great customer service experience. Definitely coming back!
94,2024-09-11,65,Male,Korean,East Jakarta,6,43,5,4,4,5,4.5,104264,625584,Yes,Yes,Cash,Lunch,Wednesday,0,6,3,The Korean food was absolutely delicious! Staff went above and beyond. Definitely coming back!
95,2023-12-24,63,Female,Korean,West Jakarta,6,28,4,4,4,5,4.2,363464,2180784,Yes,Yes,Credit Card,Dinner,Sunday,1,8,5,Best Korean I've had in a long time! Service was excellent and attentive. Definitely coming back!
96,2024-08-12,61,Female,Mexican,North Jakarta,3,26,3,3,1,2,2.2,212650,637950,No,No,E-Wallet,Lunch,Monday,0,24,5,Food was okay. Service was acceptable. Might give it another try.
97,2025-11-05,23,Female,Western,Tangerang,6,57,4,4,4,4,4.0,325981,1955886,Yes,Yes,Credit Card,Dinner,Wednesday,0,5,4,"Food was exceptional, especially the main course. Staff went above and beyond. Definitely coming back!"
98,2024-11-28,37,Male,Chinese,Bekasi,8,17,2,2,2,3,2.2,492723,3941784,No,No,Credit Card,Breakfast,Thursday,0,26,4,Portions were too small for the price. Server was rude and unprofessional. Might give it another try.
99,2025-10-17,57,Male,Arabic,Tangerang,3,15,4,4,2,4,3.5,279466,838398,Yes,Yes,Credit Card,Lunch,Friday,0,19,5,"Food was exceptional, especially the main course. Server was knowledgeable and helpful. Might give it another try."
100,2025-07-29,36,Female,Chinese,East Jakarta,5,56,4,5,5,5,4.8,280999,1404995,Yes,Yes,E-Wallet,Late Night,Tuesday,0,10,3,Best Chinese I've had in a long time! Great customer service experience. Definitely coming back!
101,2023-11-16,56,Male,Mexican,Central Jakarta,8,60,5,3,5,5,4.5,496256,3970048,Yes,Yes,Credit Card,Breakfast,Thursday,0,29,3,Best Mexican I've had in a long time! Service was acceptable. Definitely coming back!
102,2025-04-17,35,Female,Western,West Jakarta,7,10,3,3,2,3,2.8,77921,545447,No,No,E-Wallet,Dinner,Thursday,0,12,4,Food was okay. Service was acceptable. Might give it another try.
103,2025-03-20,23,Female,Chinese,Central Jakarta,6,11,3,3,3,4,3.2,485034,2910204,No,Yes,E-Wallet,Lunch,Thursday,0,29,5,Food was okay. Service was acceptable. Might give it another try.
104,2024-12-04,48,Female,Arabic,Central Jakarta,2,6,3,3,5,5,4.0,369228,738456,Yes,Yes,QRIS,Late Night,Wednesday,0,8,4,Food was okay. Service was acceptable. Definitely coming back!
105,2024-05-21,33,Female,Japanese,Central Jakarta,4,31,4,4,5,5,4.5,331046,1324184,Yes,Yes,Credit Card,Lunch,Tuesday,0,27,3,Fresh ingredients and perfect seasoning. Staff went above and beyond. Definitely coming back!
106,2025-02-18,36,Female,Italian,Bekasi,4,41,4,5,5,4,4.5,324456,1297824,Yes,Yes,Cash,Breakfast,Tuesday,0,17,4,The Italian food was absolutely delicious! Staff went above and beyond. Definitely coming back!
107,2024-01-28,20,Female,Indian,North Jakarta,1,27,2,1,3,3,2.2,379387,379387,No,No,Credit Card,Lunch,Sunday,1,6,4,Portions were too small for the price. Had to wait too long for everything. Might give it another try.
108,2024-09-20,52,Female,Vietnamese,West Jakarta,8,49,5,4,4,4,4.2,425413,3403304,Yes,Yes,E-Wallet,Lunch,Friday,0,6,3,The Vietnamese food was absolutely delicious! Server was knowledgeable and helpful. Definitely coming back!
109,2024-10-04,20,Female,Mexican,Tangerang,8,21,3,1,2,2,2.0,459385,3675080,No,No,Credit Card,Dinner,Friday,0,8,4,Food was okay. Had to wait too long for everything. Probably won't return.
110,2025-10-05,45,Female,Korean,Tangerang,6,16,5,5,5,5,5.0,189838,1139028,Yes,Yes,Credit Card,Late Night,Sunday,1,24,3,"Food was exceptional, especially the main course. Service was excellent and attentive. Definitely coming back!"
111,2025-08-09,52,Female,Indian,South Jakarta,2,25,4,4,5,5,4.5,273407,546814,Yes,Yes,Debit Card,Late Night,Saturday,1,6,5,"Food was exceptional, especially the main course. Server was knowledgeable and helpful. Definitely coming back!"
112,2024-05-18,40,Female,Mexican,Central Jakarta,2,47,5,5,5,5,5.0,133879,267758,Yes,Yes,Credit Card,Late Night,Saturday,1,6,3,"Amazing Mexican cuisine, authentic flavors! Staff went above and beyond. Definitely coming back!"
113,2024-11-07,22,Male,Vietnamese,Bekasi,6,29,3,1,3,2,2.2,244492,1466952,No,No,Cash,Breakfast,Thursday,0,23,3,Food was okay. Poor customer service. Might give it another try.
114,2024-03-17,51,Female,Thai,Bekasi,5,20,1,3,1,2,1.8,321447,1607235,No,No,E-Wallet,Breakfast,Sunday,1,13,4,Portions were too small for the price. Service was acceptable. Probably won't return.
115,2025-09-05,63,Female,Chinese,North Jakarta,8,17,1,1,2,1,1.2,424011,3392088,No,No,E-Wallet,Dinner,Friday,0,27,3,The Chinese was disappointing. Had to wait too long for everything. Probably won't return.
116,2025-08-05,53,Female,Mexican,West Jakarta,3,55,5,3,3,3,3.5,465270,1395810,Yes,Yes,Debit Card,Late Night,Tuesday,0,5,4,"Amazing Mexican cuisine, authentic flavors! Service was acceptable. Might give it another try."
117,2024-06-13,53,Female,Korean,West Jakarta,2,9,4,5,5,4,4.5,325615,651230,Yes,Yes,E-Wallet,Breakfast,Thursday,0,9,4,"Food was exceptional, especially the main course. Staff went above and beyond. Definitely coming back!"
118,2025-02-17,59,Male,Korean,Depok,6,13,2,3,4,2,2.8,485888,2915328,No,No,Credit Card,Lunch,Monday,0,14,3,Portions were too small for the price. Service was acceptable. Might give it another try.
119,2025-01-26,28,Female,Chinese,Bekasi,5,59,2,1,3,3,2.2,193891,969455,No,No,Debit Card,Breakfast,Sunday,1,21,5,Overcooked and underseasoned dishes. Server was rude and unprofessional. Might give it another try.
120,2024-02-27,28,Male,Indonesian,Bekasi,1,57,1,1,3,3,2.0,188755,188755,No,No,Debit Card,Breakfast,Tuesday,0,20,5,Portions were too small for the price. Poor customer service. Probably won't return.
121,2025-05-18,52,Female,Vietnamese,North Jakarta,8,20,5,5,4,5,4.8,81411,651288,Yes,Yes,Debit Card,Late Night,Sunday,1,19,3,"Food was exceptional, especially the main course. Great customer service experience. Definitely coming back!"
122,2024-12-06,39,Male,Indian,Bekasi,6,30,3,4,4,2,3.2,217308,1303848,No,Yes,Debit Card,Breakfast,Friday,0,13,4,Food was okay. Great customer service experience. Might give it another try.
123,2025-05-30,33,Male,Japanese,Central Jakarta,5,29,4,4,5,5,4.5,428078,2140390,Yes,Yes,Cash,Late Night,Friday,0,21,4,"Amazing Japanese cuisine, authentic flavors! Friendly staff and quick service. Definitely coming back!"
124,2024-11-29,49,Female,Korean,Central Jakarta,2,30,4,4,5,5,4.5,75510,151020,Yes,Yes,Credit Card,Late Night,Friday,0,14,5,Best Korean I've had in a long time! Great customer service experience. Definitely coming back!
125,2023-11-08,18,Male,Thai,West Jakarta,5,51,4,4,3,4,3.8,76821,384105,Yes,Yes,QRIS,Dinner,Wednesday,0,22,4,Fresh ingredients and perfect seasoning. Friendly staff and quick service. Might give it another try.
126,2024-07-01,22,Female,Western,Depok,5,57,1,1,2,2,1.5,466755,2333775,No,No,Cash,Lunch,Monday,0,11,5,Portions were too small for the price. Had to wait too long for everything. Probably won't return.
127,2023-11-22,50,Female,Western,Central Jakarta,1,7,4,3,3,4,3.5,289593,289593,Yes,Yes,Debit Card,Lunch,Wednesday,0,15,5,Fresh ingredients and perfect seasoning. Service was acceptable. Might give it another try.
128,2025-09-17,38,Male,Thai,North Jakarta,6,37,5,5,5,5,5.0,477687,2866122,Yes,Yes,Credit Card,Breakfast,Wednesday,0,18,5,Best Thai I've had in a long time! Server was knowledgeable and helpful. Definitely coming back!
